,out_tx,in_tx,out_value,in_value,unique_receivers,unique_senders
16062883,0.0,0.0,0.0,0.0,0.0,0.0
16062882,0.0,0.0,0.0,0.0,0.0,0.0
16062881,0.0,0.0,0.0,0.0,0.0,0.0
16062880,0.0,0.0,0.0,0.0,0.0,0.0
16062879,0.0,0.0,0.0,0.0,0.0,0.0
16062878,0.0,0.0,0.0,0.0,0.0,0.0
16062877,0.0,0.0,0.0,0.0,0.0,0.0
16062876,0.0,0.0,0.0,0.0,0.0,0.0
16062875,0.0,0.0,0.0,0.0,0.0,0.0
16062874,1.0,0.0,0.0,0.0,1.0,0.0
16062873,1.0,0.0,0.0,0.0,1.0,0.0
16062872,0.0,0.0,0.0,0.0,0.0,0.0
16062871,0.0,0.0,0.0,0.0,0.0,0.0
16062870,0.0,0.0,0.0,0.0,0.0,0.0
16062869,1.0,0.0,0.0,0.0,1.0,0.0
16062868,1.0,0.0,0.0,0.0,1.0,0.0
16062867,0.0,0.0,0.0,0.0,0.0,0.0
16062866,0.0,0.0,0.0,0.0,0.0,0.0
16062865,1.0,0.0,0.0,0.0,1.0,0.0
16062864,0.0,0.0,0.0,0.0,0.0,0.0
16062863,0.0,0.0,0.0,0.0,0.0,0.0
16062862,0.0,0.0,0.0,0.0,0.0,0.0
16062861,0.0,0.0,0.0,0.0,0.0,0.0
16062860,0.0,0.0,0.0,0.0,0.0,0.0
16062859,0.0,0.0,0.0,0.0,0.0,0.0
16062858,0.0,0.0,0.0,0.0,0.0,0.0
16062857,0.0,0.0,0.0,0.0,0.0,0.0
16062856,0.0,0.0,0.0,0.0,0.0,0.0
16062855,0.0,0.0,0.0,0.0,0.0,0.0
16062854,0.0,0.0,0.0,0.0,0.0,0.0
16062853,0.0,0.0,0.0,0.0,0.0,0.0
16062852,0.0,0.0,0.0,0.0,0.0,0.0
16062851,0.0,0.0,0.0,0.0,0.0,0.0
16062850,0.0,0.0,0.0,0.0,0.0,0.0
16062849,0.0,0.0,0.0,0.0,0.0,0.0
