,out_tx,in_tx,out_value,in_value,unique_receivers,unique_senders
16112737,0.0,0.0,0.0,0.0,0.0,0.0
16112736,0.0,0.0,0.0,0.0,0.0,0.0
16112735,0.0,0.0,0.0,0.0,0.0,0.0
16112734,0.0,0.0,0.0,0.0,0.0,0.0
16112733,0.0,0.0,0.0,0.0,0.0,0.0
16112732,0.0,0.0,0.0,0.0,0.0,0.0
16112731,0.0,0.0,0.0,0.0,0.0,0.0
16112730,0.0,0.0,0.0,0.0,0.0,0.0
16112729,0.0,0.0,0.0,0.0,0.0,0.0
16112728,0.0,0.0,0.0,0.0,0.0,0.0
16112727,0.0,0.0,0.0,0.0,0.0,0.0
16112726,0.0,0.0,0.0,0.0,0.0,0.0
16112725,0.0,0.0,0.0,0.0,0.0,0.0
16112724,0.0,0.0,0.0,0.0,0.0,0.0
16112723,0.0,0.0,0.0,0.0,0.0,0.0
16112722,0.0,0.0,0.0,0.0,0.0,0.0
16112721,0.0,0.0,0.0,0.0,0.0,0.0
16112720,0.0,0.0,0.0,0.0,0.0,0.0
16112719,0.0,0.0,0.0,0.0,0.0,0.0
16112718,0.0,0.0,0.0,0.0,0.0,0.0
16112717,0.0,0.0,0.0,0.0,0.0,0.0
16112716,0.0,0.0,0.0,0.0,0.0,0.0
16112715,0.0,0.0,0.0,0.0,0.0,0.0
16112714,0.0,0.0,0.0,0.0,0.0,0.0
16112713,0.0,0.0,0.0,0.0,0.0,0.0
16112712,0.0,0.0,0.0,0.0,0.0,0.0
16112711,0.0,0.0,0.0,0.0,0.0,0.0
16112710,0.0,0.0,0.0,0.0,0.0,0.0
16112709,0.0,0.0,0.0,0.0,0.0,0.0
16112708,0.0,0.0,0.0,0.0,0.0,0.0
16112707,0.0,0.0,0.0,0.0,0.0,0.0
16112706,0.0,0.0,0.0,0.0,0.0,0.0
16112705,0.0,0.0,0.0,0.0,0.0,0.0
16112704,0.0,0.0,0.0,0.0,0.0,0.0
16112703,0.0,0.0,0.0,0.0,0.0,0.0
16112702,0.0,0.0,0.0,0.0,0.0,0.0
16112701,0.0,0.0,0.0,0.0,0.0,0.0
16112700,0.0,0.0,0.0,0.0,0.0,0.0
16112699,0.0,0.0,0.0,0.0,0.0,0.0
16112698,0.0,0.0,0.0,0.0,0.0,0.0
16112697,0.0,0.0,0.0,0.0,0.0,0.0
16112696,0.0,0.0,0.0,0.0,0.0,0.0
16112695,0.0,0.0,0.0,0.0,0.0,0.0
16112694,0.0,0.0,0.0,0.0,0.0,0.0
16112693,0.0,0.0,0.0,0.0,0.0,0.0
16112692,0.0,0.0,0.0,0.0,0.0,0.0
16112691,0.0,0.0,0.0,0.0,0.0,0.0
16112690,0.0,0.0,0.0,0.0,0.0,0.0
16112689,0.0,0.0,0.0,0.0,0.0,0.0
16112688,0.0,0.0,0.0,0.0,0.0,0.0
16112687,0.0,0.0,0.0,0.0,0.0,0.0
16112686,0.0,0.0,0.0,0.0,0.0,0.0
16112685,0.0,0.0,0.0,0.0,0.0,0.0
16112684,0.0,0.0,0.0,0.0,0.0,0.0
16112683,0.0,0.0,0.0,0.0,0.0,0.0
16112682,0.0,0.0,0.0,0.0,0.0,0.0
16112681,0.0,0.0,0.0,0.0,0.0,0.0
16112680,0.0,0.0,0.0,0.0,0.0,0.0
16112679,0.0,0.0,0.0,0.0,0.0,0.0
16112678,0.0,0.0,0.0,0.0,0.0,0.0
16112677,0.0,0.0,0.0,0.0,0.0,0.0
16112676,0.0,0.0,0.0,0.0,0.0,0.0
16112675,0.0,0.0,0.0,0.0,0.0,0.0
16112674,0.0,0.0,0.0,0.0,0.0,0.0
16112673,0.0,0.0,0.0,0.0,0.0,0.0
16112672,0.0,0.0,0.0,0.0,0.0,0.0
16112671,0.0,0.0,0.0,0.0,0.0,0.0
16112670,0.0,0.0,0.0,0.0,0.0,0.0
16112669,0.0,0.0,0.0,0.0,0.0,0.0
16112668,0.0,0.0,0.0,0.0,0.0,0.0
16112667,0.0,0.0,0.0,0.0,0.0,0.0
16112666,0.0,0.0,0.0,0.0,0.0,0.0
16112665,0.0,0.0,0.0,0.0,0.0,0.0
16112664,0.0,0.0,0.0,0.0,0.0,0.0
16112663,0.0,0.0,0.0,0.0,0.0,0.0
16112662,0.0,0.0,0.0,0.0,0.0,0.0
16112661,0.0,0.0,0.0,0.0,0.0,0.0
16112660,0.0,0.0,0.0,0.0,0.0,0.0
16112659,0.0,0.0,0.0,0.0,0.0,0.0
16112658,0.0,0.0,0.0,0.0,0.0,0.0
16112657,0.0,0.0,0.0,0.0,0.0,0.0
