,Unnamed: 0,hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,block_timestamp,block_number,block_hash,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price
53102,53102,0x9de103d6439a95a0e27428d6875f663c8a2619914c62d85971138cbe948a3633,4938565,133,0x21a31ee1afc51d94c2efccaa2092ad1028285549,0x9f6b08a69155e81d8191b7e74b15f333cdea1996,9032000000000000.0,207128,11657366202,0x,15550919,21000,,,1,2022-11-27 17:14:47+00:00,16062749,0xf8be05abf55135c81ee528eda5a599790c37abdc85a12429b2ff4d95fd9b7814,102000000000.0,2000000000.0,2,11657366202
54956,54956,0xb2722ed0dc5c8559048f96e61764da02cf0c68db8bc7f59c584ee6c483f40bf7,7396,114,0x5872a9e4e57bd8bdbfdb5ee4ef05bf74485714c0,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,9.89844552021366e+16,21000,8779093251,0x,27402177,21000,,,1,2022-11-27 17:11:59+00:00,16062735,0x857280bae384209fdc0db48a8b35dbbd50a11ffaac18e25c8855fdc0810f1f41,14140000000.0,240000000.0,2,8779093251
54987,54987,0xeeaa7715fa682d79e7e254fa388bc23caed7a8d66c93b55cf6d62bbc43f5bbc5,8850,113,0x313b34c5a86a8309b07e9bf6f432f8a50ae4b5cc,0xbdd95abe8a7694ccd77143376b0fbea183e6a740,9.306585896137557e+16,21000,8779093251,0x,27381177,21000,,,1,2022-11-27 17:11:59+00:00,16062735,0x857280bae384209fdc0db48a8b35dbbd50a11ffaac18e25c8855fdc0810f1f41,14140000000.0,240000000.0,2,8779093251
56247,56247,0x31bfdd61ca40a2a03d1e256da5dab0b98a1a664c329e1fbd4046ce94900aab6d,49167,39,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0xb2495ea94f7f329ca3d91342e0c7422d97ac5a9f,4.56512645595752e+17,21000,11773465277,0x,1974712,21000,,,1,2022-11-27 17:10:11+00:00,16062726,0xbd627bfff036356632d4fd6faefa2241ddca05db3240b1ee3531fd4a3076eec5,21278028622.0,2500000000.0,2,11773465277
57985,57985,0x43b9c51c42222ee979ab072cb20302e38c27d8c473f2dfa8e150ef10942c3398,49165,13,0xcc9557f04633d82fb6a1741dcec96986cd8689ae,0xad693da3aeaea10d10abaa7d410dea613cb3ca61,7.7775091583616e+16,21000,12902190890,0x,1150060,21000,,,1,2022-11-27 17:07:47+00:00,16062714,0x26be4b92a961c346493f5c636b07cc1720776ed8e112ff62b555cb8cb10e388a,24106052576.0,2500000000.0,2,12902190890
61660,61660,0x97aaf1efa23296c32878cbe2beddc9c8aa3fb3f1228ecaa867ce4c6f652a8dbc,6,97,0xfdc6656631d7bfd4bc690340cd18bcc292474fa8,0xdce5521b64447130d773d62eb5e0291299cdd4c6,1.46364868e+18,21000,13185409263,0x,8729925,21000,,,1,2022-11-27 17:02:35+00:00,16062688,0x54399328f32c6d5a6dd18c1f8ff9dcc72ae257520efac16c44e9dcb718416cbc,15658357078.0,1500000000.0,2,13185409263
68359,68359,0x8c8b0155f98fe6a579d673b4e2eef96af793b7c304c8158258b433db03eeca5f,109094,121,0x80c67432656d59144ceff962e8faf8926599bcf8,0x93d89fb5b57913e38ce0e7d9f487a4cab1fff6b4,2.9991000000000006e+17,100000,9787326210,0x,9384812,21000,,,1,2022-11-27 16:54:11+00:00,16062646,0xc22646c9e2897b687c36453527e43793ab37da14b61057519a886dcc73414b0e,180000000000.0,1000000000.0,2,9787326210
68719,68719,0xc7779d115c1f75c40e33f88d77d9a3e769e9e776e32d46ccb8c171bca0c82c93,8467,3,0xbf94f0ac752c739f623c463b5210a7fb2cbb420b,0x9bec7beae1a8ee5168b1f8491d35963f09f9e11e,9.993856e+17,210000,30500000000,0x,332257,21000,,,1,2022-11-27 16:53:35+00:00,16062643,0xa596000c0d010ac8c06283d504fcb10955a81a26c71b063ef1522ba7dccad5e7,,,0,30500000000
68981,68981,0x39949c1d6060a370bab77c70d1fa9eb16518d65e8628b143607a72e47eb7e176,1926387,60,0x4976a4a02f38326660d17bf34b431dc6e2eb2327,0xb9677b7d655919ba51d39ff88e23eff355143564,2.5399232e+19,207128,11179867572,0x,4455860,21000,,,1,2022-11-27 16:53:11+00:00,16062641,0xfb2823e6e2a3098634d1213f5888f94241b8b3ebca6fcef64cfee07667d7f754,102000000000.0,2000000000.0,2,11179867572
70931,70931,0x2d872bed4457e51d4cce6bfa4292abd618298fa30c00a8ee706eb1d8b5f073ae,109086,118,0x80c67432656d59144ceff962e8faf8926599bcf8,0x09ab7de0ca2b3096c2b67d620ac05e99aa09b1ad,3.249e+17,100000,9590883509,0x,9626436,21000,,,1,2022-11-27 16:50:11+00:00,16062626,0x62ddc83912e5ac0c1fad73a9c24653312c56866b25d2c4da616783bcb5253158,180000000000.0,1000000000.0,2,9590883509
