,Unnamed: 0,hash,nonce,transaction_index,from_address,to_address,value,gas,gas_price,input,receipt_cumulative_gas_used,receipt_gas_used,receipt_contract_address,receipt_root,receipt_status,block_timestamp,block_number,block_hash,max_fee_per_gas,max_priority_fee_per_gas,transaction_type,receipt_effective_gas_price
6797,6797,0x4eaf0fff190d8b79121edce1ebd71ae71a1868d097f10e1e639ed63276ca2bc3,0,101,0x14f63b2666c18cd040e21353c119e46d2307b051,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,1.251518e+16,92151,9743825103,0x439370b1,6890636,91194,,,1,2022-11-27 18:18:47+00:00,16063066,0x6aef2f8028287de320d5adb2f3ea4e44ee700db401318eb5562c13ffb8978b7b,10461340464.0,1000000000.0,2,9743825103
6953,6953,0x6331e832938cd0849f56880745ac105f5c9935be3a433da5f2f17125e7bfb9a2,0,125,0x3b9b7a5953e9c4cd9cdc52122fce49400b5ac146,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,4.388266540083674e+17,92151,9488214554,0x439370b1,9943101,91194,,,1,2022-11-27 18:18:35+00:00,16063065,0x03794913a907245f266dd8d05994a9c69ff991365ee5af28442bbd3cb4c490e6,9488214554.0,1000000000.0,2,9488214554
7435,7435,0x09f55fab6ecf2194d2f3ac294cb079e0948ac1d4b627b13f4a7ef92a18ac3d4f,1,96,0xe91c72c4c1e44d7e6cbb70c5e6886c569249ebf9,0xc4448b71118c9071bcb9734a0eac55d18a153949,2572300000000000.0,92227,9704608211,0x439370b1,10455321,91270,,,1,2022-11-27 18:17:47+00:00,16063061,0x36400748397258335603f4a37ff1ee1b0865f9314404e8ee035b8f272e9b473c,9704608211.0,1000000000.0,2,9704608211
7526,7526,0x2383409bcef2cbcccd0a3fc15941e7a98d1a4902d3069e335e82b9915cb18aca,0,113,0xfbee6fa2fb139c1f6b06071b2a923ecc5da3d042,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,1.25304e+16,92151,10044040860,0x439370b1,11512406,91194,,,1,2022-11-27 18:17:35+00:00,16063060,0xfdc142af74150b9600694acb0617ebfd8310fb8f1864c309fb95d76fb39d186e,10232017279.0,1000000000.0,2,10044040860
7797,7797,0x77ee5de72826af82f327f3febe3059e8a641b0e31a949f3a24a1ad5a0cefff8d,12,106,0xc1f3287339c800f1b848e66ca3dbb372dea07d12,0x6f922284798de645e8bc1040450d32bde963c992,0.0,206991,10204608211,0xf2c298be00000000000000000000000000000000000000000000000000000000000000200000000000000000000000000000000000000000000000000000000000000044307830333032396162636165643666313363353365346238356332373734613037336662316636303465396231313436313730396666633939376664613565306532333600000000000000000000000000000000000000000000000000000000,11573613,137994,,,1,2022-11-27 18:17:11+00:00,16063058,0xe027e3031b4fd0ef98a5b710c5ab119f6a2809686efa6dafb5b76a3f3dd1a748,14088132851.0,1500000000.0,2,10204608211
8074,8074,0x76b496b0b0d692a3eb25e9ded6a237e0769ab67de6bc043fca024ca604e72c6b,923,98,0x5b03a3d46e48afb49333b8f09bf77c45c9951dba,0x05072a7137d11e281cef6f58e00dba69d66616da,0.0,46114,10824542852,0xa22cb4650000000000000000000000001e0049783f008a0085193e00003d00cd54003c710000000000000000000000000000000000000000000000000000000000000001,10297345,46114,,,1,2022-11-27 18:16:47+00:00,16063056,0x58b2091a4f27ec5ab8d20bd580ed8459b02fdf6866266654205bd2fb8850d893,13013740433.0,1500000000.0,2,10824542852
8227,8227,0x46fb48775226c4554672a03ba98cb5e6a0cd8a375638ebeb2190f2ce93a1bf19,1,113,0x10af518bee37e80f42ca977b9e2e770f607924ee,0xc4448b71118c9071bcb9734a0eac55d18a153949,2547000000000000.0,92227,9964211880,0x439370b1,11169964,91270,,,1,2022-11-27 18:16:35+00:00,16063055,0x1e5c75c591dbceb3227ace32dce17e4df6c4543a5cffe29544e7103f96941e83,9964211880.0,1000000000.0,2,9964211880
8268,8268,0x0f6ed936e80cf6bbc13fe9d6498b48a4c2a1e05932afd0ae56c86e373f13f540,187,55,0x0b3820f9e8252f9b5b4f8d804b017ce9464446c1,0x034b456be60d4cfa2b22b5f57f46e63575f98080,8.068e+16,59484,10028696617,0x,4082650,39439,,,1,2022-11-27 18:16:23+00:00,16063054,0x96fb79bec0eadef070ac37698fbf486b42737e97c16edde60b1e656b036caded,13948894311.0,1500000000.0,2,10028696617
8330,8330,0x42a35218c4b39d051bfc7b15d771c984f164363a7d8d460855dc2f2951b86edb,720,72,0x0dc69f398a6c1b6d1777ff4be17cdb97ca7e5786,0x37ee7e663ae5e2fd1719e9798ff90e26b9eab720,3.0917602449161624e+16,21000,10028696617,0x,5755146,21000,,,1,2022-11-27 18:16:23+00:00,16063054,0x96fb79bec0eadef070ac37698fbf486b42737e97c16edde60b1e656b036caded,13601686038.0,1500000000.0,2,10028696617
8502,8502,0xfb4ecaa43e31819350de046c0c7cf154b24e5631cdd01da7a852b56d45e88db0,0,125,0x93e9e67429aebecd439c649bed51f1259b2cb6a5,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,1.25913e+16,92151,9382661153,0x439370b1,10028461,91194,,,1,2022-11-27 18:16:11+00:00,16063053,0xd644690b62254e9f9142d12e627c11d69df2e5a2c885cfeb2c9fe60fdaadcf4e,9382661153.0,1000000000.0,2,9382661153
8753,8753,0x6041a214bdf8c61f496d49e3c90b28a5f37a3ca90b36645fa579db9c0c961eeb,1,72,0x62495d139227b263a25b781887ac36744dcd0d0e,0x4dbd4fc535ac27206064b68ffcf827b0a60bab3f,100000000000000.0,92151,10721403193,0x439370b1,7588491,91194,,,1,2022-11-27 18:15:47+00:00,16063051,0x5467e4047ba4fdfe2a7699acb2aa31e8bfa737cc32196946538f9db5096b77d5,14050102029.0,1500000000.0,2,10721403193
9055,9055,0x58baf9325561adbb13adf409c45d1cf5793428d18d8ec61c7805242b8b25230c,1,135,0xd38850c800a6411fe4c07c0cf671df1684f0f073,0xc4448b71118c9071bcb9734a0eac55d18a153949,2551600000000000.0,92227,9522522463,0x439370b1,18032307,91270,,,1,2022-11-27 18:15:11+00:00,16063048,0x2c7beb0fe6413fa80b2e14b44a8a214c01c52725b30ad2e4fdb023de1ed3b2d6,9522522463.0,1000000000.0,2,9522522463
